triage_status,canonical_name,category,comedytickets_ids,comedytickets_names,comedytickets_event_count,comedytickets_location,city,state,country,first_party_url,detected_platform,matched_club_id,matched_club_name,matched_scraper_keys,duplicate_or_skip_reason,next_task
already-covered,SPORTS DRINK: Cafe & Comedy Club,dedicated_comedy_candidate,504,SPORTS DRINK: Cafe & Comedy Club,37,"New Orleans, LA",New Orleans,LA,US,https://www.sportsdrink.org,existing enabled source: sports_drink,653,Sports Drink,sports_drink,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,St. Andy's Sports Pub,general_venue_candidate,2640,St. Andy's Sports Pub,23,"Panama City, FL",Panama City,FL,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,St. Louis,general_venue_candidate,1091,St. Louis,5,"St. Louis, MO",St. Louis,MO,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
already-covered,Stand Up Live,general_venue_candidate,1095,Stand Up Live,26,"Phoenix, AZ",Phoenix,AZ,US,http://phoenix.standuplive.com,existing enabled source: seatengine_classic,129,StandUpLive Phoenix,seatengine_classic,manual alias to existing club; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Stir Crazy Comedy Club,dedicated_comedy_candidate,165,Stir Crazy Comedy Club,12,"6751 N Sunset Blvd, Ste E-206, Glendale, AZ 85305, Glendale, AZ",Glendale,AZ,US,,,,,,first-party source and scraper platform need verification,3588
already-covered,Stress Factory - Valley Forge Casino,theater_or_mixed_venue,912,Stress Factory - Valley Forge Casino,6,"King of Prussia, PA",King of Prussia,PA,US,https://valleyforge.stressfactory.com,existing enabled source: seatengine_classic,130,Stress Factory - Valley Forge,seatengine_classic,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Stress Factory Comedy Club - New Brunswick,dedicated_comedy_candidate,3314,Stress Factory Comedy Club - New Brunswick,22,"New Brunswick, NJ",New Brunswick,NJ,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Super Funny Comedy Club,dedicated_comedy_candidate,84,Super Funny Comedy Club,50,"8402 S Hosmer St, Tacoma, WA 98444, Tacoma, WA",Tacoma,WA,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Tacoma Comedy Club - 6th and Proctor,dedicated_comedy_candidate,447,Tacoma Comedy Club - 6th and Proctor,34,"Tacoma, WA",Tacoma,WA,US,,,,,,first-party source and scraper platform need verification,3588
already-covered,Tacoma Comedy Club - Downtown - 7PM,dedicated_comedy_candidate,1336,Tacoma Comedy Club - Downtown - 7PM,8,"Tacoma, WA",Tacoma,WA,US,https://www.tacomacomedyclub.com,existing enabled source: seatengine_classic,1031,Tacoma Comedy Club - Downtown,seatengine_classic,fuzzy normalized name and geography; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Talk to the Moon Comedy Club,dedicated_comedy_candidate,16093,Talk to the Moon Comedy Club,8,"Pensacola, FL",Pensacola,FL,US,,,,,,first-party source and scraper platform need verification,3588
needs-deny,"Tampa, FL",general_venue_candidate,1141,"Tampa, FL",7,"Tampa, FL",Tampa,FL,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
needs-manual-research,The American Comedy Co.,dedicated_comedy_candidate,171,The American Comedy Co.,20,"818 6th Ave, San Diego, CA 92101, San Diego, CA",San Diego,CA,US,,,,,,first-party source and scraper platform need verification,3588
